School Name,School Type,Address,Postcode,Phone #,LGA Name
St Thomas' School,Primary,1 Lyons Street,3264,03 5592 1925,Corangamite (S)
St Joseph's School,Primary,167 Burke Street,3820,03 5623 2943,Baw Baw (S)
St Joseph's School,Primary,Gladstone Street,3550,03 5443 2108,Greater Bendigo (C)
Firbank Grammar School,Pri/Sec,51 Outer Crescent,3186,03 9591 5188,Bayside (C)
St John's School,Primary,55 Cape Street,3084,03 9459 2963,Banyule (C)
Our Lady of Mercy College,Secondary,52 Cape Street,3084,03 9459 2511,Banyule (C)
St Joseph's School,Primary,185 Hope Street,3055,03 9385 9800,Moreland (C)
St Brigid's School,Primary,129 Albert Street,3195,03 9580 4518,Kingston (C)
St Columba's School,Primary,306 Howard Street,3350,03 5332 4894,Ballarat (C)
Ballarat Grammar,Pri/Sec,201 Forest Street,3355,03 5338 0700,Ballarat (C)
Our Lady Help of Christians School,Primary,26 Miller Street,3057,03 8388 5900,Moreland (C)
St Anthony's School,Primary,172 Neerim Road,3163,03 9563 6780,Glen Eira (C)
St Mary's School,Primary,20-24 New Street,3175,03 9791 7650,Greater Dandenong (C)
Sacred Heart School,Primary,11 Fernhill Road Nth,3191,03 9598 9322,Bayside (C)
St Joseph's School,Primary,94 Korumburra Road,3995,03 5672 1052,Bass Coast (S)
St Mary's School,Primary,74 Roseberry Street,3032,03 9370 1194,Moonee Valley (C)
St Joseph's School,Primary,Nolan Street,3579,03 5452 1426,Gannawarra (S)
De La Salle College,Pri/Sec,1318 High Street,3144,03 9508 2100,Stonnington (C)
St Margaret Mary's School,Primary,47-49 Mitchell Street,3056,03 9383 6699,Moreland (C)
The Hamilton and Alexandra College,Pri/Sec,1 Chaucer Street,3300,03 5572 1355,Southern Grampians (S)
St Francis Xavier School,Primary,Fortune Street,3350,03 5331 6311,Ballarat (C)
St Laurence O'Toole School,Primary,33-35 Ogilvy Street,3953,03 5662 2192,South Gippsland (S)
St Joseph's School,Primary,1-3 Bridge Street,3950,03 5655 2040,South Gippsland (S)
Westbourne Grammar School,Primary,67 The Strand,3015,03 9731 9555,Hobsons Bay (C)
Ivanhoe Grammar School,Pri/Sec,The Ridgeway,3079,03 9490 1877,Banyule (C)
St Brigid's School,Primary,1 High Street,3777,03 5962 4200,Yarra Ranges (S)
St James School,Primary,60 Nar Nar Goon Road,3812,03 5942 5404,Cardinia (S)
Scotch College,Pri/Sec,1 Morrison Street,3122,03 9810 4321,Boroondara (C)
St Mary's School,Primary,91 Manning Road,3145,03 9571 1358,Stonnington (C)
St Leonard's College,Pri/Sec,163 South Rd,3187,03 9909 9300,Bayside (C)
Holy Rosary School,Primary,37 Gower Street,3031,03 9376 9455,Melbourne (C)
St Aloysius' School,Primary,34 Stevens Street,3225,03 5258 1736,Queenscliffe (B)
St Anthony's School,Primary,52 Austin Street,3078,03 9489 7936,Darebin (C)
St Joseph's School,Primary,49 Stanhope Street,3144,03 9509 3092,Stonnington (C)
St Mary's School,Primary,5 Buckley Street,3971,03 5182 5659,Wellington (S)
Holy Rosary School,Primary,556 Napier Street,3550,03 5448 4280,Greater Bendigo (C)
St Columba's School,Primary,24 Glenhuntly Road,3184,03 9531 6560,Port Phillip (C)
Our Lady of the Rosary,Primary,43-47 Edgecombe Street,3444,03 5422 2056,Macedon Ranges (S)
Tintern Grammar,Pri/Sec,90 Alexandra Road,3135,03 9845 7777,Maroondah (C)
St Mary's School,Primary,2 Murlong Street,3585,03 5033 2541,Swan Hill (RC)
Toorak College,Pri/Sec,73 Old Mornington Road,3930,03 9788 7200,Mornington Peninsula (S)
St Mary's School,Primary,69 Marine Parade,3915,03 5979 1959,Mornington Peninsula (S)
St Brendan's School,Primary,727 Corangamite Lake Road,3249,03 5233 1464,Colac-Otway (S)
Our Lady of the Immaculate Conception School,Primary,32 Station Place,3020,03 9312 2230,Brimbank (C)
St Mary's School,Primary,2 Mansfield Street,3071,03 9484 5333,Darebin (C)
St John's School,Primary,263 Russell Street,3280,03 5562 5362,Warrnambool (C)
St Catherine's School,Pri/Sec,17 Heyington Place,3142,03 9822 1285,Stonnington (C)
Lowther Hall Anglican Grammar School,Pri/Sec,17 Leslie Road,3040,03 9325 5000,Moonee Valley (C)
St Brigid's College,Secondary,97 Robinson Street,3400,03 5382 3545,Horsham (RC)
St Joan of Arc School,Primary,30 Dendy Street,3186,03 9592 3840,Bayside (C)
St John's School,Primary,37 Anderson Street,3666,03 5795 2937,Strathbogie (S)
Penleigh & Essendon Grammar School,Pri/Sec,163 Rachelle Road,3033,03 9016 2000,Moonee Valley (C)
St John's School,Primary,34 Essex Street,3011,03 9687 3150,Maribyrnong (C)
St Joseph's School,Primary,Broadway Street,3644,03 5872 1573,Moira (S)
Shelford Girls' Grammar,Pri/Sec,3 Hood Crescent,3161,03 9524 7333,Glen Eira (C)
Mary Immaculate School,Primary,9 Rockbeare Grove,3079,03 9497 1827,Banyule (C)
St Joseph's School,Primary,367 High Street,3608,03 5794 2608,Strathbogie (S)
Our Lady of Lourdes School,Primary,7 Wynnstay Road,3181,03 9510 6688,Stonnington (C)
St Joseph's School,Primary,4-8 Raymond Street,3888,03 5154 1289,East Gippsland (S)
Mentone Grammar School,Pri/Sec,63 Venice Street,3194,03 9584 4211,Kingston (C)
Ivanhoe Girls' Grammar School,Pri/Sec,123 Marshall St,3079,03 9490 6222,Banyule (C)
St Mary's School,Primary,43 O'Donnell Avenue,3737,03 5752 1808,Alpine (S)
Carey Baptist Grammar School,Pri/Sec,349 Barkers Road,3101,03 9816 1222,Boroondara (C)
Kilvington Grammar School,Pri/Sec,2 Leila Road,3204,03 9578 6231,Glen Eira (C)
Haileybury College,Pri/Sec,855 Springvale Rd,3173,03 9213 2222,Greater Dandenong (C)
St Therese's School,Primary,25-31 Edward Street,3040,03 9374 6100,Moonee Valley (C)
Sacred Heart School,Primary,5 The Parade,3717,03 5797 2723,Murrindindi (S)
Our Lady of Good Counsel School,Primary,12 Whitehorse Rd,3103,03 9817 5744,Boroondara (C)
Strathcona Baptist Girls' Grammar,Pri/Sec,34 Scott Street,3126,03 8779 7500,Boroondara (C)
St Kevin's School,Primary,Glen Orme Avenue,3204,03 9578 1182,Glen Eira (C)
Mentone Girls' Grammar School,Pri/Sec,11 Mentone Parade,3194,03 9581 1200,Kingston (C)
St Joseph's School,Primary,362 Station Street,3196,03 9772 8251,Kingston (C)
Gippsland Grammar,Pri/Sec,417 York Street,3850,03 5143 6388,Wellington (S)
St Finbar's School,Primary,90 Centre Road,3187,03 9592 4479,Bayside (C)
Loreto Mandeville Hall,Pri/Sec,10 Mandeville Crescent,3142,03 9823 8100,Stonnington (C)
St Dominic's School,Primary,145 Highfield Road,3124,03 9836 8300,Boroondara (C)
St Mary's School,Primary,59 Holyrood Street,3188,03 9521 9335,Bayside (C)
Holy Rosary School,Primary,18 Pohlman Street,3523,03 5433 2057,Greater Bendigo (C)
St Mary's School,Primary,45-49 King Edward Street,3568,03 5456 2062,Gannawarra (S)
Camberwell Grammar School,Pri/Sec,55 Mont Albert Road,3126,03 9835 1777,Boroondara (C)
St Joseph's School,Primary,17 Martin Street,3919,03 5983 9374,Mornington Peninsula (S)
Brighton Grammar School,Pri/Sec,90 Outer Crescent,3186,03 8591 2200,Bayside (C)
St Fidelis' School,Primary,52 Saunders Street,3058,03 9383 3600,Moreland (C)
Huntingtower School,Pri/Sec,77 Waimarie Drive,3149,03 9807 8888,Monash (C)
St Francis Xavier's School,Primary,1087 Whitehorse Road,3128,03 9890 1108,Whitehorse (C)
St Mary's School,Primary,95A Railway Street,3018,03 9398 4842,Hobsons Bay (C)
Our Lady Help of Christians School,Primary,1-13 Henry Street,3095,03 9439 7824,Nillumbik (S)
Our Lady of the Sacred Heart School,Primary,18 Box Street,3505,03 5025 2258,Mildura (RC)
St Francis Xavier School,Primary,8 Park Street,3199,03 9783 3424,Frankston (C)
Our Lady of Sion College,Secondary,1065 Whitehorse Road,3128,03 9890 9097,Whitehorse (C)
St Gabriel's School,Primary,237 Spring Street,3073,03 9469 3513,Darebin (C)
St Paul's School,Primary,122 Jasper Road,3204,03 9557 7130,Glen Eira (C)
St Joseph's School,Primary,544 Balcombe Road,3193,03 9589 4685,Bayside (C)
Salesian College,Secondary,Rupertswood,3429,03 9744 0000,Hume (C)
St Patrick's School,Primary,2 Merrick Street,3862,03 5145 6463,Wellington (S)
Kingswood College,Pri/Sec,355 Station Street,3128,03 9896 1700,Whitehorse (C)
St Joseph's School,Primary,58 Waterloo Road,3824,03 5633 1151,Baw Baw (S)
St Patrick's School,Primary,3 Dalny Road,3163,03 9569 7487,Glen Eira (C)
St Roch's School,Primary,Glenvale Road,3146,03 9885 7704,Stonnington (C)
St Margaret's School,Pri/Sec,27-47 Gloucester Ave,3806,03 9703 8111,Casey (C)
Camberwell Girls Grammar School,Pri/Sec,2 Torrington Street,3126,03 9813 1166,Boroondara (C)
St Anne's School,Primary,7-19 Beresford Street,3102,03 9859 4116,Boroondara (C)
Our Lady of Perpetual Help School,Primary,2 Wilana Street,3134,03 9870 7227,Maroondah (C)
St Francis Xavier's School,Primary,90 Mayona Road,3094,03 9435 8474,Banyule (C)
St Joseph's School,Primary,Constitution Hill Road,3943,03 5984 1291,Mornington Peninsula (S)
St Cecilia's School,Primary,4 Van Ness Avenue,3146,03 9809 2142,Boroondara (C)
St Joseph's School,Primary,28 Sandham Street,3185,03 9528 1614,Glen Eira (C)
St Joseph's School,Primary,17 Fitzroy Avenue,3496,03 5024 1654,Mildura (RC)
"Preshil, The Margaret Lyttle Memorial School",Pri/Sec,395 Barkers Road,3101,03 9817 6135,Boroondara (C)
St Peter's School,Primary,32 Wedge Street,3076,03 9401 1157,Whittlesea (C)
Santa Maria College,Secondary,50 Separation Street,3070,03 9489 7644,Darebin (C)
Sacred Heart School,Primary,2 Mora Avenue,3166,03 8574 4500,Monash (C)
St Mark's School,Primary,118 Argyle Street,3060,03 9359 6463,Moreland (C)
St John the Baptist School,Primary,17 Forest Road,3156,03 9758 1013,Knox (C)
St John's School,Primary,490 Whitehorse Road,3132,03 9874 1575,Whitehorse (C)
St Mary's School,Primary,121-143 McLennan Street,3629,03 5825 2858,Greater Shepparton (C)
St Raphael's School,Primary,Cooper Street,3072,03 9478 8374,Darebin (C)
St Kevin's College,Pri/Sec,31 Moonga Road,3142,03 9822 0911,Stonnington (C)
St John the Baptist's School,Primary,Station Street,3981,03 5997 1653,Cardinia (S)
St Vincent de Paul's School,Primary,92 - 114 Woodland Street,3041,03 9379 5723,Moonee Valley (C)
St Joseph's College Geelong,Secondary,135 Aphrasia Street,3220,03 5226 8100,Greater Geelong (C)
St Joseph's School,Primary,33 St John's Avenue,3171,03 9546 8223,Greater Dandenong (C)
St Bede's College,Secondary,2 Mentone Parade,3194,03 9582 5999,Kingston (C)
Holy Name School,Primary,12 Robb Street,3073,03 9471 0883,Darebin (C)
Siena College Ltd,Secondary,815 Riversdale Road,3124,03 9835 0200,Boroondara (C)
St Bernard's School,Primary,36 Patterson Street,3058,03 9384 8500,Moreland (C)
St Benedict's School,Primary,3-9 Central Avenue,3125,03 9808 8551,Whitehorse (C)
St Oliver Plunkett's School,Primary,1-39 Landells Road,3044,03 9354 5411,Moreland (C)
Corpus Christi School,Primary,380 Geelong Road,3012,03 9314 7303,Maribyrnong (C)
St Robert's School,Primary,13 Nicholas Street,3220,03 5221 1075,Greater Geelong (C)
St Bernard's College,Secondary,41 Rosehill Road,3040,03 9289 1000,Moonee Valley (C)
Whitefriars College Inc,Secondary,156 Park Road,3111,03 9872 8200,Manningham (C)
St Michael's School,Primary,268 High Street,3147,03 9885 3105,Boroondara (C)
St Mary's School,Primary,131 Powells Road,3352,03 5334 5280,Moorabool (S)
Our Lady of the Sacred Heart College,Secondary,111 Jasper Road,3204,03 8520 9200,Glen Eira (C)
St Bede's School,Primary,2 Marwal Avenue,3104,03 8851 4651,Boroondara (C)
Salesian College,Secondary,10 Bosco Street,3148,03 9807 2644,Monash (C)
St Patrick's School,Primary,29 Leahy Street,3418,03 5391 1575,Hindmarsh (S)
St Margaret's School,Primary,83 St Albans Road,3219,03 5229 7453,Greater Geelong (C)
Mount Scopus Memorial College,Pri/Sec,245 Burwood Highway,3125,03 9834 0000,Whitehorse (C)
St Kieran's School,Primary,Lloyd Street,3825,03 5127 3606,Latrobe (C)
Marcellin College,Secondary,160 Bulleen Road,3105,03 9851 1589,Manningham (C)
Marist-Sion College,Secondary,165 Burke Street,3820,03 5623 5944,Baw Baw (S)
Henderson College,Pri/Sec,806-816 Cowra Ave,3498,03 5024 5192,Mildura (RC)
St Theresa's School,Primary,16 Drummartin Street,3020,03 9311 9070,Brimbank (C)
St Bernadette's School,Primary,53 Stanley Street,3079,03 9499 3914,Banyule (C)
St Colman's School,Primary,46 Dunlop Street,3272,03 5599 2285,Moyne (S)
St Agnes' School,Primary,Peterson Street,3190,03 9532 0344,Bayside (C)
Our Lady of the Assumption School,Primary,9 Centre Dandenong Road,3192,03 9584 9488,Kingston (C)
Nunawading Christian College-Primary,Primary,Laughlin Ave,3131,03 9878 9927,Whitehorse (C)
Sacred Heart School,Primary,35 Wicklow Avenue,3136,03 9724 4333,Maroondah (C)
St Malachy's School,Primary,34 Lake Street,3318,03 5585 1396,West Wimmera (S)
Heritage College,Pri/Sec,333 Centre Road,3805,03 9796 0100,Casey (C)
St Mary's School,Primary,Myrtle Street,3714,03 5772 1500,Murrindindi (S)
Resurrection House,Primary,6 Aberfeldie Street,3040,03 9337 0084,Moonee Valley (C)
Adass Israel School,Pri/Sec,10-12 King Street,3185,03 9523 6422,Glen Eira (C)
Holy Spirit School,Primary,197 Clarendon Street,3071,03 9480 0391,Darebin (C)
Sacred Heart School,Primary,Winifred Street,3021,03 9366 0266,Brimbank (C)
St Thomas The Apostle School,Primary,67 Central Road,3130,03 9878 8268,Whitehorse (C)
St Mary's School,Primary,5-7 Southam Street,3612,03 5856 1347,Campaspe (S)
St Michael's School,Primary,Davis Street,3858,03 5148 2514,Wellington (S)
St Thomas Aquinas School,Primary,51 Plume Street,3214,03 5275 3560,Greater Geelong (C)
St Pius X School,Primary,431 Waterdale Road,3081,03 9457 3776,Banyule (C)
St Margaret Mary's School,Primary,181 Hudsons Road,3015,03 9391 3118,Hobsons Bay (C)
Monivae College,Secondary,133 Ballarat Road,3300,03 5551 1200,Southern Grampians (S)
St Mary Magdalen's School,Primary,15 Bambil Street,3148,03 9807 0315,Monash (C)
St Anthony's School,Primary,90 Buckley Street,3174,03 9546 0044,Greater Dandenong (C)
St Peter's School,Primary,16 Mary Street,3168,03 9544 3032,Monash (C)
St Joseph's School,Primary,33 Lascelles Street,3396,03 5083 3296,Yarriambiack (S)
Yeshivah College,Pri/Sec,88 Hotham Street,3183,03 9522 8222,Glen Eira (C)
St John Bosco's School,Primary,6 Teague Street,3042,03 9337 2314,Moonee Valley (C)
Holy Family School,Primary,143-147 Separation Street,3215,03 5278 4634,Greater Geelong (C)
Holy Spirit Parish School,Primary,83 Minerva Road,3218,03 5229 8298,Greater Geelong (C)
St Mary's School,Primary,210 Grimshaw Street,3088,03 9433 4000,Banyule (C)
Mother of God School,Primary,67 Blanche Street,3022,03 9363 1734,Brimbank (C)
St Peter Chanel School,Primary,848 Ballarat Road,3023,03 9363 1586,Brimbank (C)
Christ the King Primary School,Primary,28 Riley Court,3019,03 9311 7387,Maribyrnong (C)
Corpus Christi School,Primary,13-21 Widford Street,3046,03 9306 3062,Moreland (C)
Killester College,Secondary,433 Springvale Road,3171,03 9547 5000,Greater Dandenong (C)
St Paul's School,Primary,Links Street,3020,03 9363 1568,Brimbank (C)
St Patrick's School,Primary,5 Victoria Street,3575,03 5455 7220,Loddon (S)
Clonard College,Secondary,225 Church Street,3218,03 5278 2155,Greater Geelong (C)
Stella Maris School,Primary,113 Oak Street,3193,03 9589 2641,Bayside (C)
St Therese's School,Primary,Albion Street,3550,03 5443 3200,Greater Bendigo (C)
St Bernadette's School,Primary,2 Willey Street,3020,03 9311 8872,Brimbank (C)
St James' School,Primary,260 Albert Street,3356,03 5335 8750,Ballarat (C)
Rossbourne School,Special,131 Power Street,3122,03 9819 4611,Boroondara (C)
Sacred Heart School,Primary,Olive Grove,3500,03 5023 1204,Mildura (RC)
Beth Rivkah Ladies College,Pri/Sec,14-20 Balaclava Road,3183,03 9522 8242,Glen Eira (C)
St Margaret's Primary School,Primary,67 The Esplanade,3032,03 9318 1339,Maribyrnong (C)
Immaculate Heart of Mary School,Primary,50-54 Monash Road,3825,03 5127 2342,Latrobe (C)
Holy Family School,Primary,250 Stephensons Road,3149,03 9807 3300,Monash (C)
St Gerard's School,Primary,71 Gladstone Road,3175,03 9791 7553,Greater Dandenong (C)
St Mel's School,Primary,35 Hamilton Street,3630,03 5821 3163,Greater Shepparton (C)
Our Lady of Perpetual Succour School,Primary,31 Erasmus Street,3127,03 9898 7655,Whitehorse (C)
St Catherine's School,Primary,14-28 Fletcher Street,3189,03 9555 7200,Kingston (C)
Sacred Heart Girls' College,Secondary,113 Warrigal Road,3166,03 9568 5488,Monash (C)
St Vincent de Paul's School,Primary,2 Rowell Street,3840,03 5134 2060,Latrobe (C)
St Peter's Lutheran School,Primary,6-26 Horsham Road,3414,03 5389 1626,Hindmarsh (S)
St Mary's School,Primary,47 Hannon Street,3533,03 5070 1272,Buloke (S)
St Joseph's School,Primary,40 Milners Road,3797,03 5967 1183,Yarra Ranges (S)
St Stephen's School,Primary,71 Whitelaw Street,3073,03 9460 3566,Darebin (C)
St Brendan's School,Primary,Golf Links Road,3909,03 5155 2712,East Gippsland (S)
St Martin of Tours School,Primary,2-12 Silk Street,3084,03 8458 7500,Banyule (C)
St Michael's School,Primary,Queen Elizabeth Drive,3700,02 6071 2386,Towong (S)
Christ Our Holy Redeemer School,Primary,43 Ferntree Gully Road,3166,03 9569 8966,Monash (C)
Our Lady of the Nativity School,Primary,29 Fawkner Street,3040,03 9337 4204,Moonee Valley (C)
St John's Regional College,Secondary,5-11 Caroline Street,3175,03 9791 3366,Greater Dandenong (C)
Nagle College,Secondary,20 Hope Avenue,3875,03 5152 6122,East Gippsland (S)
St Mary's School,Pri/Sec,12 Watkin Street,3549,03 5026 3483,Swan Hill (RC)
Our Lady's School,Primary,White Street,3677,03 5721 3783,Wangaratta (RC)
Emmaus College,Secondary,503 Springvale Road,3133,03 9845 3211,Whitehorse (C)
St Dominic's School,Primary,408 Camp Road,3047,03 9309 4146,Hume (C)
St Patrick's School,Primary,Mangan Street,3621,03 5859 0371,Campaspe (S)
St Bridget's School,Primary,36 Sweyn Street,3104,03 9857 6394,Boroondara (C)
St Leonard's School,Primary,349 Springvale Road,3150,03 9560 8491,Monash (C)
St Scholastica's School,Primary,4-8 Starling Street,3125,03 9808 7279,Whitehorse (C)
St Christopher's School,Primary,Doon Avenue,3150,03 9803 0011,Monash (C)
St John Vianney's School,Primary,Brisbane Terrace,3195,03 9580 5812,Kingston (C)
Ss Peter & Paul's School,Primary,16 Beverley Street,3109,03 9842 2056,Manningham (C)
St Mary of the Angels College,Secondary,Chapel Street,3638,03 5866 2222,Moira (S)
Holy Family School,Primary,100 Power Road,3177,03 9791 1853,Casey (C)
Aquinas College,Secondary,46 Great Ryrie Street,3134,03 9259 3000,Maroondah (C)
Leibler Yavneh College,Pri/Sec,2 Nagle Avenue,3185,03 9528 4911,Glen Eira (C)
Peninsula Grammar,Pri/Sec,20 Wooralla Drive,3930,03 9788 7777,Mornington Peninsula (S)
St Matthew's School,Primary,95 William Street,3060,03 9359 5423,Moreland (C)
St John Vianney's School,Primary,23 Police Road,3170,03 9546 4161,Monash (C)
St Luke's School,Primary,1A David Street,3075,03 9465 2099,Whittlesea (C)
St Francis de Sales School,Primary,626 Pascoe Vale Road,3046,03 9306 9444,Moreland (C)
St John's Lutheran School Geelong,Primary,33 Aberdeen Street,3220,03 5221 5221,Greater Geelong (C)
St Thomas More's School,Primary,Reynold's Lane,3160,03 9754 4444,Yarra Ranges (S)
St Pius X School,Primary,32-34 Hoddle Street,3280,03 5562 2506,Warrnambool (C)
St Christopher's School,Primary,34 Roberts Road,3042,03 9338 3591,Moonee Valley (C)
Sacred Heart School,Primary,125 Hart Street,3250,03 5231 5292,Colac-Otway (S)
Sacred Heart School,Primary,25 Gipson Street,3089,03 9438 1590,Nillumbik (S)
St Michael's School,Primary,16 Scanlan Street,3806,03 9707 1600,Casey (C)
Ave Maria College,Secondary,14-22 Vida Street,3040,03 9331 9300,Moonee Valley (C)
Bialik College,Pri/Sec,429 Auburn Road,3122,03 9822 7981,Boroondara (C)
Our Lady of the Way School,Primary,11-13 Green Avenue,3083,03 9460 6684,Darebin (C)
St Luke the Evangelist School,Primary,46 Orchard Grove,3130,03 9877 4023,Whitehorse (C)
St Bernard's School,Primary,2-14 Williams Road,3677,03 5721 4431,Wangaratta (RC)
Our Lady Help of Christians School,Primary,15 Munro Street,3390,03 5385 2526,Yarriambiack (S)
Luther College,Secondary,Plymouth Rd,3136,03 9724 2000,Maroondah (C)
Marian College,Secondary,196 Glengala Road,3020,03 9363 1711,Brimbank (C)
Mount St Joseph Girls' College,Secondary,133 Maidstone Street,3018,03 8398 2000,Hobsons Bay (C)
Our Lady Help of Christians School,Primary,482 Gillies Street,3355,03 5339 4726,Ballarat (C)
St Clement of Rome School,Primary,9 Egan Drive,3105,03 9850 1216,Manningham (C)
St Joseph's Primary School,Primary,212 Boronia Road,3155,03 9762 3275,Knox (C)
Sacred Heart School,Primary,111-115 Hansen Street,3707,02 6076 1138,Towong (S)
Mater Christi College,Secondary,28 Bayview Road,3160,03 9754 6611,Yarra Ranges (S)
Our Lady of Lourdes School,Primary,23 Orange Grove,3153,03 9729 3411,Knox (C)
St Joseph's College,Secondary,5 Brenock Park Drive,3156,03 9758 2000,Knox (C)
St Paul's College Balwyn,Special,3 Brenbeal Street,3101,03 8595 2470,Boroondara (C)
Annunciation School,Primary,4-14 Nolan Avenue,3012,03 9314 6271,Hobsons Bay (C)
St Louis de Montfort's School,Primary,37 Dolphin Street,3195,03 9580 5169,Kingston (C)
St Thomas More's School,Primary,30 Angus Street,3046,03 9312 8200,Moreland (C)
Avila College,Secondary,35 Charles Street,3149,03 9831 9600,Monash (C)
St Philip's School,Primary,60 Junction Road,3130,03 9878 6501,Whitehorse (C)
Holy Child School,Primary,227 Blair Street,3047,03 9309 1620,Hume (C)
Emmanuel College,Secondary,423 Blackshaws Road,3025,03 8325 5100,Hobsons Bay (C)
St Peter Julian Eymard,Primary,Reay Road,3138,03 9725 0595,Yarra Ranges (S)
St Damian's School,Primary,5 Settlement Road,3083,03 9467 8566,Whittlesea (C)
St Monica's College,Secondary,400 Dalton Road,3076,03 9409 8800,Whittlesea (C)
Yarra Valley Grammar,Pri/Sec,Kalinda Road,3134,03 9262 7777,Maroondah (C)
Christ the King School,Primary,79 Wilsons Road,3219,03 5248 1093,Greater Geelong (C)
Mercy College,Secondary,760 Sydney Road,3058,03 9319 9299,Moreland (C)
St Timothy's School,Primary,21 Stevens Road,3133,03 9878 4188,Whitehorse (C)
St Mary's School,Primary,4-12 Duke Street,3860,03 5147 1334,Wellington (S)
St Macartan's School,Primary,97 Bungower Road,3931,03 5979 9200,Mornington Peninsula (S)
St John's School,Primary,Jayne Street,3199,03 9789 9794,Frankston (C)
St Mary's College for the Deaf,Special,10 Riddell Road,3152,03 9800 2733,Knox (C)
John Paul College,Secondary,165 Mc Mahons Road,3199,03 9784 0200,Frankston (C)
St Anne's School,Primary,86-94 Austin Road,3198,03 9786 4736,Frankston (C)
Mazenod College,Secondary,Kernot Ave,3170,03 9560 0911,Monash (C)
St Martin de Porres School,Primary,158 Military Road,3034,03 9331 9000,Moonee Valley (C)
St Gregory the Great School,Primary,396 Manningham Road,3108,03 9848 4483,Manningham (C)
Maranatha Christian School,Pri/Sec,104-108 Reema Boulevard,3802,03 9709 7209,Casey (C)
St Kevin's School,Primary,26-44 Herlihys Road,3107,03 9850 4609,Manningham (C)
St James' School,Primary,51 Centre Road,3133,03 9874 1830,Whitehorse (C)
Good Shepherd School,Primary,30 Academy Avenue,3150,03 9562 0229,Monash (C)
MacKillop Catholic Regional College,Secondary,1 Russell Street,3030,03 8734 5200,Wyndham (C)
St James' College,Secondary,156 Bignell Road,3165,03 9575 8100,Glen Eira (C)
St Thomas' School,Primary,Guthridge Parade,3850,03 5144 1332,Wellington (S)
St Leo the Great Primary School,Primary,389 Mason Street,3025,03 9391 5522,Hobsons Bay (C)
St Peter's School,Primary,2A Parkside Avenue,3033,03 9337 4111,Moonee Valley (C)
Our Lady Help of Christians School,Primary,28 Selby Road,3280,03 5562 5559,Warrnambool (C)
Marian College,Secondary,11-49 Prince Street,3737,03 5752 1596,Alpine (S)
St Martin de Porres School,Primary,13-25 Bellin Street,3028,03 9369 1070,Hobsons Bay (C)
St Jude the Apostle School,Primary,53 George Street,3179,03 9763 7703,Knox (C)
St Monica's School,Primary,137 Brockley Street,3690,02 6024 3151,Wodonga (C)
Mount Evelyn Christian School/Ranges TEC,Pri/Sec,135 York Road,3796,03 9738 6000,Yarra Ranges (S)
Melbourne Rudolf Steiner School,Pri/Sec,213 Wonga Road,3134,03 9876 2633,Maroondah (C)
St Peter's School,Primary,Fenton Street,3550,03 5443 9319,Greater Bendigo (C)
St Mark's School,Primary,4-6 Dimar Court,3172,03 9551 1150,Kingston (C)
The Currajong School,Special,90 Darling Road,3145,03 9571 7869,Stonnington (C)
Nunawading Christian College-Secondary,Secondary,161 Central Rd,3131,03 9877 3555,Whitehorse (C)
Eltham College,Pri/Sec,1660 Main Road,3095,03 9437 1421,Nillumbik (S)
Holy Eucharist School,Primary,1A Oleander Drive,3021,03 8312 0900,Brimbank (C)
St Paul's Primary School,Primary,Fourteenth Street,3500,03 5023 4567,Mildura (RC)
Learning Co-Operative School,Primary,10 Laceys Road,3099,03 9718 1481,Nillumbik (S)
St Peter Apostle School,Primary,16-38 Guinane Avenue,3029,03 9749 1055,Wyndham (C)
Donvale Christian College,Pri/Sec,155 Tindals Road,3111,03 9844 2471,Manningham (C)
Berengarra School,Special,43 Harrison Street,3129,03 9898 9167,Whitehorse (C)
Sholem Aleichem College,Primary,11 Sinclair St,3185,03 8527 3000,Glen Eira (C)
St John XXIII Primary School,Primary,Regal Avenue,3074,03 9465 6066,Whittlesea (C)
Braemar College,Pri/Sec,1499 Mt Macedon Rd,3442,03 5427 2500,Macedon Ranges (S)
School of the Good Shepherd,Primary,88 South Circular Road,3043,03 9338 7686,Hume (C)
St Agatha's School,Primary,Scott Street,3977,03 5996 2724,Casey (C)
Resurrection School,Primary,402 Corrigan Road,3173,03 9798 4126,Greater Dandenong (C)
St Dominic's School,Primary,Church Street,3337,03 9743 6225,Melton (C)
St Francis Xavier School,Primary,143 Bacchus Marsh Road,3214,03 5275 1974,Greater Geelong (C)
Gilson College,Pri/Sec,450 Taylors Road,3037,03 9365 9365,Melton (C)
Cheshire School,Special,583 Ferntree Gully Road,3150,03 8562 5100,Monash (C)
Galen Catholic College,Secondary,College Street,3677,03 5721 6322,Wangaratta (RC)
Holy Spirit School,Primary,120 Oban Road,3134,03 9876 1103,Maroondah (C)
Lumen Christi School,Primary,35 Williams Avenue,3842,03 5122 2231,Latrobe (C)
Holy Saviour Parish School,Primary,765 Highbury Road,3133,03 9803 6828,Whitehorse (C)
St Clare's School,Primary,Harbard Street,3074,03 9465 8535,Whittlesea (C)
Nhill Lutheran School,Primary,2 Mackay St,3418,03 5391 2144,Hindmarsh (S)
St Anne's School,Primary,16 Stewarts Lane,3429,03 9744 3055,Hume (C)
Our Lady of the Pines School,Primary,77 Carbine Street,3111,03 9842 2991,Manningham (C)
St Jude's School,Primary,30 Warrandyte Road,3910,03 9789 7581,Frankston (C)
